Campo;Fuente1;Fuente2;Fuente3;Fuente4;Fuente5;Fuente6
campovx_11_fuente;CVC;Nómina Superficie de Explotación Forestal Acogidos al D.L. Nº 701, de 1974 (FORESTAL.DAT);;;;
campovx_11_fuente;CVC;Nómina SDF;;;;
campovx_11_fuente;F22;CVC;;;;
campovx_11_fuente;F1822;;;;;
campovx_11_fuente;Nómina Transferencias de Vehículos Usados (VEHICULO_USADO.DAT);;;;;
campovx_11_fuente;Avaluaciones;;;;;
campovx_11_fuente;F1894;;;;;
campovx_11_fuente;F1896;;;;;
campovx_11_fuente;F22AT-1;;;;;
campovx_11_fuente;F22;;;;;
campovx_11_fuente;F1822;;;;;
campovx_11_fuente;CVC;;;;;
campovx_11_fuente;F1822;;;;;
campovx_11_fuente;CVC;;;;;
campovx_11_fuente;CVC;;;;;
campovx_11_fuente;F1879;;;;;
campovx_11_fuente;F1812;F1887;;;;
campovx_11_fuente;F1898;;;;;
campovx_11_fuente;Nómina Declaracíon Jurada de Renuncia;;;;;
campovx_11_fuente;DJS Ley 19.840 (55 bis);Avaluaciones;;;;
campovx_11_fuente;F29 (SIN FILTROS: Considerar todos los F29 presentados por el contribuyente, sin validar las anotaciones vigentes o el pago de los giros);;;;;
campovx_11_fuente;F29;;;;;
campovx_11_fuente;F22;;;;;
campovx_11_fuente;F22;CVC;F1890;;;
campovx_11_fuente;F22;CVC;F1890;;;
campovx_11_fuente;F22;CVC;F1890;;;
campovx_11_fuente;F22;CVC;F1890;;;
campovx_11_fuente;F22;CVC;F1894;;;
campovx_11_fuente;F22;CVC;F1894;;;
campovx_11_fuente;Vector Renta;;;;;
campovx_11_fuente;F50;;;;;
campovx_11_fuente;F1898;;;;;
campovx_11_fuente;F1896;Avaluaciones;;;;
campovx_11_fuente;F50;;;;;
campovx_11_fuente;F50;;;;;
campovx_11_fuente;Vector Renta;;;;;
campovx_11_fuente;F1898;;;;;
campovx_11_fuente;F50;;;;;
campovx_11_fuente;F22;;;;;
campovx_11_fuente;F1887;;;;;
campovx_11_fuente;F1822;;;;;
campovx_11_fuente;F50;;;;;
campovx_11_fuente;F1894;;;;;
campovx_11_fuente;F22;;;;;
campovx_11_fuente;CVC;;;;;
campovx_11_fuente;Vector Renta;;;;;
campovx_11_fuente;Vector Renta;;;;;
campovx_11_fuente;Vector Renta;;;;;
campovx_11_fuente;Vector Renta;;;;;
campovx_11_fuente;Vector Renta;;;;;
campovx_11_fuente;Vector Renta;;;;;
campovx_11_fuente;Vector Renta;;;;;
campovx_11_fuente;Vector Renta;;;;;
campovx_11_fuente;Vector Renta;;;;;
campovx_11_fuente;Vector Renta;;;;;
campovx_11_fuente;Vector Renta;;;;;
campovx_11_fuente;Vector Renta;;;;;
campovx_11_fuente;Vector Renta;;;;;
campovx_11_fuente;Vector Renta;;;;;
campovx_11_fuente;Vector Renta;;;;;
campovx_11_fuente;Vector Renta;;;;;
campovx_11_fuente;Vector Renta;;;;;
campovx_11_fuente;Vector Renta;;;;;
campovx_11_fuente;Vector Renta;;;;;
campovx_11_fuente;Vector Renta;;;;;
campovx_11_fuente;Vector Renta;;;;;
campovx_11_fuente;Vector Renta;;;;;
campovx_11_fuente;Vector Renta;;;;;
campovx_11_fuente;Vector Renta;;;;;
campovx_11_fuente;F22;;;;;
campovx_11_fuente;F1811;;;;;
campovx_11_fuente;F1812;F1887;;;;
campovx_11_fuente;F1812;F1887;;;;
campovx_11_fuente;Vector Renta;;;;;
campovx_11_fuente;F22;;;;;
campovx_11_fuente;F22;;;;;
campovx_11_fuente;F1822;;;;;
campovx_11_fuente;F22;;;;;
campovx_11_fuente;Vector Renta;;;;;
campovx_11_fuente;F1891;;;;;
campovx_11_fuente;F1891;;;;;
campovx_11_fuente;Vector Renta;;;;;
campovx_11_fuente;Vector Renta;;;;;
campovx_11_fuente;Avaluaciones;;;;;
campovx_11_fuente;Vector Renta;;;;;
campovx_11_fuente;Vector Renta;;;;;
campovx_11_fuente;F1894;;;;;
campovx_11_fuente;Vector Renta;;;;;
campovx_11_fuente;F1812;F1887;;;;
campovx_11_fuente;F22;;;;;
campovx_11_fuente;Vector Renta;;;;;
campovx_11_fuente;F1899;;;;;
campovx_11_fuente;F1899;;;;;
campovx_11_fuente;F1899;;;;;
campovx_11_fuente;F1899;;;;;
campovx_11_fuente;F1899;;;;;
campovx_11_fuente;F1890;;;;;
campovx_11_fuente;F1890;;;;;
campovx_11_fuente;F1895;;;;;
campovx_11_fuente;F1879;;;;;
campovx_11_fuente;F1879;;;;;
campovx_11_fuente;F1879;;;;;
campovx_11_fuente;Avaluaciones;F1897AT, F1897AT-1 y F1897AT-2 y F1897AT-3;;;;
campovx_11_fuente;Avaluaciones;F1897AT, F1897AT-1 y F1897AT-2 y F1897AT-3;;;;
campovx_11_fuente;Avaluaciones;F1897AT, F1897AT-1 y F1897AT-2 y F1897AT-3;;;;
campovx_11_fuente;Avaluaciones;F1897AT, F1897AT-1 y F1897AT-2 y F1897AT-3;;;;
campovx_11_fuente;"Nómina ""Compra de acciones acogidas al artículo 18 TER""";;;;;
campovx_11_fuente;F1898;;;;;
campovx_11_fuente;F1898;;;;;
campovx_11_fuente;F1898;DJS Ley 19.840 (55 bis);;;;
campovx_11_fuente;F22;;;;;
campovx_11_fuente;F22;;;;;
campovx_11_fuente;Avaluaciones;;;;;
campovx_11_fuente;Vector Renta;;;;;
campovx_11_fuente;Vector Renta;;;;;
campovx_11_fuente;F1889;;;;;
campovx_11_fuente;F1891;;;;;
campovx_11_fuente;F1894;;;;;
campovx_11_fuente;F1896;;;;;
campovx_11_fuente;F1822;;;;;
campovx_11_fuente;F1929;;;;;
campovx_11_fuente;F1929;;;;;
campovx_11_fuente;F1929;;;;;
campovx_11_fuente;RIAC;;;;;
campovx_11_fuente;CVC;;;;;
campovx_11_fuente;F1812;F1887;;;;
campovx_11_fuente;Nómina OTEC Querellada;;;;;
campovx_11_fuente;Nómina OTEC Revocados (OTEC.DAT);;;;;
campovx_11_fuente;F22;Vector Renta;;;;
campovx_11_fuente;Nómina Mandato Especial e Irrevocable SENCE (MANDATOS.DAT);;;;;
campovx_11_fuente;Nómina Mandato Especial e Irrevocable SENCE (MANDATOS.DAT);;;;;
campovx_11_fuente;F1896;;;;;
campovx_11_fuente;F1898;;;;;
campovx_11_fuente;F1899;;;;;
campovx_11_fuente;F29;;;;;
campovx_11_fuente;Nómina OTEC Revocados (OTEC.DAT);;;;;
campovx_11_fuente;F22;;;;;
campovx_11_fuente;F22;F1898;;;;
campovx_11_fuente;Declaración Jurada Simple Beneficiario de Rebaja de Impuesto por Crédito Hipotecario;;;;;
campovx_11_fuente;F1899;;;;;
campovx_11_fuente;CVC;;;;;
campovx_11_fuente;F1929;;;;;
campovx_11_fuente;CVC;Nómina SDF;;;;
campovx_11_fuente;F29;;;;;
campovx_11_fuente;F1812;;;;;
campovx_11_fuente;F1879;;;;;
campovx_11_fuente;F1887;;;;;
campovx_11_fuente;F1890;;;;;
campovx_11_fuente;F1890;;;;;
campovx_11_fuente;Nómina de Proyectos Donaciones Sociales (DON_SOC.DAT);;;;;
campovx_11_fuente;Vector Renta;;;;;
campovx_11_fuente;F1835;;;;;
campovx_11_fuente;F1896;;;;;
campovx_11_fuente;F1828;;;;;
campovx_11_fuente;F1822;;;;;
campovx_11_fuente;F1811;;;;;
campovx_11_fuente;Vector Renta;;;;;
campovx_11_fuente;F50;;;;;
campovx_11_fuente;F29;;;;;
campovx_11_fuente;F29;;;;;
campovx_11_fuente;Vector Renta;;;;;
campovx_11_fuente;F1832;;;;;
campovx_11_fuente;Nómina Donaciones a Universidades e Inst. Profesionales, Ley Nº 18.681, de 1987 (DONAUNIV.DAT);Vector Renta;;;;
campovx_11_fuente;Vector Renta;;;;;
campovx_11_fuente;F22;;;;;
campovx_11_fuente;Vector RentaAT-1;;;;;
campovx_11_fuente;Vector Renta;;;;;
campovx_11_fuente;Vector Renta;;;;;
campovx_11_fuente;F1832;;;;;
campovx_11_fuente;F22;;;;;
campovx_11_fuente;F22;;;;;
campovx_11_fuente;F22;;;;;
campovx_11_fuente;F22;;;;;
campovx_11_fuente;CVC;;;;;
campovx_11_fuente;Vector Renta;;;;;
campovx_11_fuente;Vector Renta;;;;;
campovx_11_fuente;F1894;;;;;
campovx_11_fuente;Vector RentaAT-2;;;;;
campovx_11_fuente;Vector Renta;;;;;
campovx_11_fuente;Vector Renta;F22;;;;
campovx_11_fuente;Vx010546;;;;;
campovx_11_fuente;Vector Renta;;;;;
campovx_11_fuente;Nómina de Proyectos Donaciones Sociales (DON_SOC.DAT);;;;;
campovx_11_fuente;Nómina Donaciones Para Fines Deportivos (DEPORTIVOS.DAT);Nómina Proyectos Deportivos Aprobados por el SII (PROYAPROBADO.DAT);;;;
campovx_11_fuente;RCIVIL;;;;;
campovx_11_fuente;F22AT-1;;;;;
campovx_11_fuente;F22;;;;;
campovx_11_fuente;CVC;;;;;
campovx_11_fuente;F29 (SIN FILTROS: Considerar todos los F29 presentados por el contribuyente, sin validar las anotaciones vigentes o el pago de los giros);;;;;
campovx_11_fuente;F29 (SIN FILTROS: Considerar todos los F29 presentados por el contribuyente, sin validar las anotaciones vigentes o el pago de los giros);;;;;
campovx_11_fuente;F29 (SIN FILTROS: Considerar todos los F29 presentados por el contribuyente, sin validar las anotaciones vigentes o el pago de los giros);;;;;
campovx_11_fuente;CVC;;;;;
campovx_11_fuente;Declaración Jurada sobre Nomina Sence (F4500);;;;;
campovx_11_fuente;Declaración Jurada sobre Nomina Sence (F4500);;;;;
campovx_11_fuente;CVC;;;;;
campovx_11_fuente;F1896;Avaluaciones;;;;
campovx_11_fuente;Nómina Pescadores Artesanales (PESCA_ARTESANAL.DAT);;;;;
campovx_11_fuente;F1898;;;;;
campovx_11_fuente;Avaluaciones;;;;;
campovx_11_fuente;F1887;;;;;
campovx_11_fuente;F1887;Vector Renta;;;;
campovx_11_fuente;CVC;;;;;
campovx_11_fuente;CVC;;;;;
campovx_11_fuente;CVC;;;;;
campovx_11_fuente;F22;;;;;
campovx_11_fuente;F1896;Avaluaciones;;;;
campovx_11_fuente;Declaración Jurada sobre Nomina Sence (F4500);;;;;
campovx_11_fuente;CVC;;;;;
campovx_11_fuente;F1832;;;;;
campovx_11_fuente;F1832;;;;;
campovx_11_fuente;F1832;;;;;
campovx_11_fuente;F1834;;;;;
campovx_11_fuente;F1834;;;;;
campovx_11_fuente;F1812;;;;;
campovx_11_fuente;Nómina Donaciones Para Fines Deportivos (DEPORTIVOS.DAT);;;;;
campovx_11_fuente;Nómina Donaciones Para Fines Deportivos (DEPORTIVOS.DAT);;;;;
campovx_11_fuente;Nómina de Cónyuge e Hijos, CVC;;;;;
campovx_11_fuente;Vx010563, Vx010665;;;;;
campovx_11_fuente;Nómina de Cónyuge e Hijos, CVC;;;;;
campovx_11_fuente;Vx010546, Vx010665;;;;;
campovx_11_fuente;Avaluaciones;F1835;;;;
campovx_11_fuente;Avaluaciones;F1835;;;;
campovx_11_fuente;F22;;;;;
campovx_11_fuente;F18XX y F19XX;;;;;
campovx_11_fuente;Vector RentaAT-1;;;;;
campovx_11_fuente;F22;;;;;
campovx_11_fuente;F22;;;;;
campovx_11_fuente;F22;;;;;
campovx_11_fuente;F22;;;;;
campovx_11_fuente;F22;;;;;
campovx_11_fuente;F22;;;;;
campovx_11_fuente;F22;;;;;
campovx_11_fuente;F1929;;;;;
campovx_11_fuente;F1929;;;;;
campovx_11_fuente;F1929;;;;;
campovx_11_fuente;F50;;;;;
campovx_11_fuente;F50;;;;;
campovx_11_fuente;F22;;;;;
campovx_11_fuente;Declaración Jurada sobre Nomina Sence (F4500);;;;;
campovx_11_fuente;F50;;;;;
campovx_11_fuente;F50;;;;;
campovx_11_fuente;F50;;;;;
campovx_11_fuente;F1929;;;;;
campovx_11_fuente;F1929;;;;;
campovx_11_fuente;F22;;;;;
campovx_11_fuente;F22;;;;;
campovx_11_fuente;F22;;;;;
campovx_11_fuente;Nómina DGC;;;;;
campovx_11_fuente;CVC;;;;;
campovx_11_fuente;F22;;;;;
campovx_11_fuente;F1879;;;;;
campovx_11_fuente;F29;;;;;
campovx_11_fuente;F1891;;;;;
campovx_11_fuente;F1879;;;;;
campovx_11_fuente;F1879;;;;;
campovx_11_fuente;F50;;;;;
campovx_11_fuente;Nómina Pescadores Artesanales (PESCA_ARTESANAL.DAT);;;;;
campovx_11_fuente;Nómina Pescadores Artesanales (PESCA_ARTESANAL.DAT);;;;;
campovx_11_fuente;Aplicación Pago Diferido;;;;;
campovx_11_fuente;Aplicación Pago Diferido;;;;;
campovx_11_fuente;F1887;;;;;
campovx_11_fuente;F1887;;;;;
campovx_11_fuente;F1896;;;;;
campovx_11_fuente;F1896;Avaluaciones;;;;
campovx_11_fuente;Avaluaciones;F1835;;;;
campovx_11_fuente;F22;;;;;
campovx_11_fuente;F22;;;;;
campovx_11_fuente;F22;;;;;
campovx_11_fuente;F1887;;;;;
campovx_11_fuente;BHE;;;;;
campovx_11_fuente;F1862;;;;;
campovx_11_fuente;F1862;;;;;
campovx_11_fuente;F1862;;;;;
campovx_11_fuente;F1862;;;;;
campovx_11_fuente;F1811;;;;;
campovx_11_fuente;CVC;;;;;
campovx_11_fuente;CVC;;;;;
campovx_11_fuente;BHE;Timbraje de Documentos;;;;
campovx_11_fuente;CVC;;;;;
campovx_11_fuente;F1879;Validaciones DDJJ;Vector RentaRut2;;;
campovx_11_fuente;F1879;Validaciones DDJJ;;;;
campovx_11_fuente;Avaluaciones;;;;;
campovx_11_fuente;F29;;;;;
campovx_11_fuente;Timbraje de Documento;;;;;
campovx_11_fuente;F29;;;;;
campovx_11_fuente;F22;Vector Renta;CVC;;;
campovx_11_fuente;CVC;Vector Renta;;;;
campovx_11_fuente;F1879;;;;;
campovx_11_fuente;F1879;Prevector;;;;
campovx_11_fuente;F22 AT-1;;;;;
campovx_11_fuente;Validaciones DDJJ;;;;;
campovx_11_fuente;F1879;;;;;
campovx_11_fuente;F1879;;;;;
campovx_11_fuente;F29;;;;;
campovx_11_fuente;F29;;;;;
campovx_11_fuente;F1879;;;;;
campovx_11_fuente;Nómina RUT Observados traspasado a Selectiva;;;;;
campovx_11_fuente;F22;;;;;
campovx_11_fuente;F22;;;;;
campovx_11_fuente;F22;;;;;
campovx_11_fuente;F22;;;;;
campovx_11_fuente;F29;;;;;
campovx_11_fuente;F29;;;;;
campovx_11_fuente;F22;;;;;
campovx_11_fuente;F22;;;;;
campovx_11_fuente;F22;;;;;
campovx_11_fuente;F22;;;;;
campovx_11_fuente;Vx;;;;;
campovx_11_fuente;Vector Renta;;;;;
campovx_11_fuente;F22;;;;;
campovx_11_fuente;Nómina Presencia Bursátil de Acciones en Bolsa (ACCIONES.DAT);F1891;;;;
campovx_11_fuente;Nómina de Proyectos Donaciones Sociales (DON_SOC.DAT);Nómina Proyectos Donaciones Sociales en Revisión (PROYECTODONSOCIAL.DAT);;;;
campovx_11_fuente;Nómina de Proyectos Donaciones Sociales (DON_SOC.DAT);Nómina Proyectos Donaciones Sociales en Revisión (PROYECTODONSOCIAL.DAT);;;;
campovx_11_fuente;Nómina de Proyectos Donaciones Sociales (DON_SOC.DAT);;;;;
campovx_11_fuente;F1822;;;;;
campovx_11_fuente;F22;CVC;F1822;;;
campovx_11_fuente;Vector Renta;;;;;
campovx_11_fuente;Vector Renta;;;;;
campovx_11_fuente;F22;CVC;F1890;;;
campovx_11_fuente;Vector Renta;;;;;
campovx_11_fuente;RIAC;;;;;
campovx_11_fuente;F1822;;;;;
campovx_11_fuente;F22;;;;;
campovx_11_fuente;F22;;;;;
campovx_11_fuente;F22;;;;;
campovx_11_fuente;F22;;;;;
campovx_11_fuente;Vector Renta;;;;;
campovx_11_fuente;F1812;F1887;CVC;;;
campovx_11_fuente;Vector Renta;CVC;F1890;;;
campovx_11_fuente;F1890;;;;;
campovx_11_fuente;F1890;;;;;
campovx_11_fuente;F1890;;;;;
campovx_11_fuente;CVC;Vector Renta;;;;
campovx_11_fuente;F1890;;;;;
campovx_11_fuente;Vector Renta;CVC;F1894;;;
campovx_11_fuente;F1894;;;;;
campovx_11_fuente;F1890;;;;;
campovx_11_fuente;F1890;;;;;
campovx_11_fuente;F1811;;;;;
campovx_11_fuente;Vector Renta;CVC;F1890;;;
campovx_11_fuente;F22;CVC;F1890;Vector Renta;;
campovx_11_fuente;Vector Renta;CVC;F1890;;;
campovx_11_fuente;Vector Renta;CVC;;;;
campovx_11_fuente;Vector Renta;CVC;F1890;;;
campovx_11_fuente;Vector Renta;CVC;F1890;;;
campovx_11_fuente;F1890;;;;;
campovx_11_fuente;Vector Renta;CVC;F1890;;;
campovx_11_fuente;Vector Renta;CVC;F1890;;;
campovx_11_fuente;Vector Renta;CVC;F1890;;;
campovx_11_fuente;Vector Renta;CVC;F1890;;;
campovx_11_fuente;F22;CVC;Vx011017;;;
campovx_11_fuente;Vector Renta;F22;CVC;;;
campovx_11_fuente;F22;Vector Renta;CVC;;;
campovx_11_fuente;F22;Vector Renta;CVC;;;
campovx_11_fuente;F1823;F1888;;;;
campovx_11_fuente;F22;;;;;
campovx_11_fuente;F22;;;;;
campovx_11_fuente;F22;;;;;
campovx_11_fuente;F22;;;;;
campovx_11_fuente;F22;;;;;
campovx_11_fuente;Avaluaciones;F1897;;;;
campovx_11_fuente;F22;CVC;F1822;Vector Renta;;
campovx_11_fuente;F22;CVC;F1822;Vector Renta;;
campovx_11_fuente;Nómina de Naves Marítimas (o Artefacto Naval) (TRANSFERENCIA_NAVES.DAT);Tabla de Moneda;Tabla de Cambios;;;
campovx_11_fuente;Nómina de Inscripción y Transferencias de Aeronaves (TRANSFERENCIA_AERONAVES.DAT);Tabla de Moneda;Tabla de Cambios;;;
campovx_11_fuente;Vector Renta;;;;;
campovx_11_fuente;Vector Renta;;;;;
campovx_11_fuente;Avaluaciones;F1897;;;;
campovx_11_fuente;F22;;;;;
campovx_11_fuente;Avaluaciones;F1897;;;;
campovx_11_fuente;Avaluaciones;F1897;;;;
campovx_11_fuente;F22;;;;;
campovx_11_fuente;F22;Nómina Renta efectiva agricultores, mineros y transportistas (CAMT.DAT);RIAC;Avaluaciones;;
campovx_11_fuente;F22;;;;;
campovx_11_fuente;F22;;;;;
campovx_11_fuente;F22;;;;;
campovx_11_fuente;F22;;;;;
campovx_11_fuente;CVC;;;;;
campovx_11_fuente;CVC;;;;;
campovx_11_fuente;CVC;;;;;
campovx_11_fuente;CVC;;;;;
campovx_11_fuente;CVC;;;;;
campovx_11_fuente;F22;;;;;
campovx_11_fuente;F29 (SIN FILTROS: Considerar todos los F29 presentados por el contribuyente, sin validar las anotaciones vigentes o el pago de los giros);;;;;
campovx_11_fuente;CVC;;;;;
campovx_11_fuente;F22;;;;;
campovx_11_fuente;F22bis;;;;;
campovx_11_fuente;F1895;;;;;
campovx_11_fuente;F1895;;;;;
campovx_11_fuente;F1895;;;;;
campovx_11_fuente;F1895;;;;;
campovx_11_fuente;F1895;;;;;
campovx_11_fuente;F1895;;;;;
campovx_11_fuente;F1895;;;;;
campovx_11_fuente;F1895;;;;;
campovx_11_fuente;F1895;;;;;
campovx_11_fuente;F1895;;;;;
campovx_11_fuente;F1895;;;;;
campovx_11_fuente;F1895AT-1;;;;;
campovx_11_fuente;F1895AT-1;;;;;
campovx_11_fuente;F1895;;;;;
campovx_11_fuente;F1895;;;;;
campovx_11_fuente;F1895;;;;;
campovx_11_fuente;F1895;;;;;
campovx_11_fuente;F1895;;;;;
campovx_11_fuente;F1895;;;;;
campovx_11_fuente;F1895;;;;;
campovx_11_fuente;F1895;;;;;
campovx_11_fuente;Nómina SDF;;;;;
campovx_11_fuente;F1895;;;;;
campovx_11_fuente;F1895AT-1;;;;;
campovx_11_fuente;F1895;;;;;
campovx_11_fuente;CVC;;;;;
campovx_11_fuente;CVC;;;;;
campovx_11_fuente;CVCAT-1;Vector Renta;F22Sociedad_AT-1;AvaluacionesAT-1;F1897Sociedad_AT-1 y F1897Sociedad_AT-2 y F1897Sociedad_AT-3;
campovx_11_fuente;CVCAT-1;Vector Renta;F22Sociedad_AT-1;AvaluacionesAT-1;F1897Sociedad_AT-1 y F1897Sociedad_AT-2 y F1897Sociedad_AT-3;
campovx_11_fuente;F22;CVC;Vector Renta;;;
campovx_11_fuente;F22;CVC;Vector Renta;;;
campovx_11_fuente;F22;CVC;Vector Renta;;;
campovx_11_fuente;F22;CVC;Vector Renta;;;
campovx_11_fuente;F22;;;;;
campovx_11_fuente;F22;;;;;
campovx_11_fuente;F22;CVC;Vector Renta;;;
campovx_11_fuente;Nómina entregada por Fiscalización;;;;;
campovx_11_fuente;F1895AT-1;;;;;
campovx_11_fuente;CVC;;;;;
campovx_11_fuente;CVC;;;;;
campovx_11_fuente;F29;;;;;
campovx_11_fuente;CVC;F22Sociedad;Avaluaciones;F1897AT, F1897AT-1, F1897AT-2 y F1897AT-3;;
campovx_11_fuente;CVC;Avaluaciones;F1897;;;
campovx_11_fuente;Avaluaciones;F1897;;;;
campovx_11_fuente;Avaluaciones;F1897;;;;
campovx_11_fuente;Avaluaciones;F1897;;;;
campovx_11_fuente;Nómina RUT en auditoría Selectiva S02;;;;;
campovx_11_fuente;Avaluaciones;F1897;;;;
campovx_11_fuente;F22;;;;;
campovx_11_fuente;F1887;;;;;
campovx_11_fuente;F1812;;;;;
campovx_11_fuente;F1899;;;;;
campovx_11_fuente;F1899;;;;;
campovx_11_fuente;F1899;;;;;
campovx_11_fuente;F1899;;;;;
campovx_11_fuente;F1899;;;;;
campovx_11_fuente;F1899;;;;;
campovx_11_fuente;F1899;;;;;
campovx_11_fuente;F1899;;;;;
campovx_11_fuente;F1899;;;;;
